SaleId,Product,Category,quantity_sold,Sale,total_amount
DE0001,Phone4,Smart Phone,34,96.02,291666.5112
DE0002,Shoes1,Shoes,40,188.5,673623.6
DE0007,Perfume5,Perfumes,34,135.46,411467.87760000007
DE0009,Bottle3,Water bottles,38,143.73,487951.8516
DE0012,Tshirt4,Tshirts,4,20.98,7497.4128
DE0014,Shoes3,Shoes,14,76.57,95770.693200000009
DE0019,Tshirt1,Tshirts,32,154.03,440353.28640000004
DE0021,Perfume2,Perfumes,34,174.32,529507.4592
DE0022,Bottle1,Water bottles,22,99.73,196017.3204
DE0026,Shoes5,Shoes,16,105.61,150963.15840000001
DE0028,Perfume4,Perfumes,22,117.73,231395.9604
DE0029,Jeans3,Jeans,26,162.01,376323.30840000004
DE0031,Bottle6,Water bottles,4,16.18,5782.0848000000005
DE0032,Jeans5,Jeans,2,13.18,2355.0024
DE0034,Perfume4,Perfumes,14,93.9,117446.36400000002
DE0037,Tshirt3,Tshirts,36,100.86,324389.96640000003
DE0038,Bottle5,Water bottles,24,105.97,227216.6352
DE0043,Bottle2,Water bottles,10,32.11,28687.074000000004
DE0050,Perfume4,Perfumes,24,147.13,315470.2608
DE0051,Phone6,Smart Phone,6,34.93,18723.8772
DE0052,Shoes4,Shoes,34,197.19,598976.4564
DE0058,Tshirt6,Tshirts,32,194.73,556709.7024
DE0059,Tshirt6,Tshirts,20,88.87,158792.91600000003
DE0060,Phone1,Smart Phone,10,43.93,39247.062000000005
DE0062,Tshirt6,Tshirts,8,49.53,35400.081600000005
DE0064,Bottle2,Water bottles,32,186.48,533123.94239999994
DE0065,Tshirt3,Tshirts,6,37.29,19988.9316
DE0067,Bottle6,Water bottles,12,73.36,78647.7888
DE0072,Phone4,Smart Phone,22,73.84,145131.04320000001
DE0074,Shoes3,Shoes,18,76.76,123439.2912
DE0076,Bottle6,Water bottles,38,219.75,746033.67
DE0078,Bottle1,Water bottles,6,30.96,16595.7984
DE0080,Bottle3,Water bottles,18,53.86,86613.3432
DE0081,Tshirt5,Tshirts,6,37.25,19967.49
DE0082,Bottle2,Water bottles,40,139.41,498195.576
DE0088,Phone1,Smart Phone,32,201.55,576207.26400000008
DE0089,Phone2,Smart Phone,32,116.01,331658.66880000004
DE0090,Perfume4,Perfumes,14,74.68,93406.7568
DE0091,Bottle3,Water bottles,8,25.73,18389.745600000002
DE0093,Jeans6,Jeans,2,13.22,2362.1496
DE0096,Bottle1,Water bottles,36,101.47,326351.8728
DE0097,Phone6,Smart Phone,32,193.66,553650.7008
DE0100,Tshirt4,Tshirts,20,76.21,136172.028
DE0101,Perfume1,Perfumes,26,117.43,272771.10120000003
DE0103,Bottle4,Water bottles,14,42.05,52594.458
DE0104,Jeans1,Jeans,38,212.93,722880.31560000009
DE0107,Bottle1,Water bottles,26,104.31,242295.4404
DE0109,Jeans6,Jeans,38,122.01,414214.1892
DE0111,Phone5,Smart Phone,4,26.09,9323.5224
DE0112,Jeans1,Jeans,12,54.73,58674.9384
DE0113,Tshirt4,Tshirts,40,247.67,885073.512
DE0116,Shoes1,Shoes,38,176.52,599271.27840000007
DE0117,Jeans1,Jeans,38,179.5,609388.14
DE0118,Tshirt1,Tshirts,18,93.3,150037.596
DE0119,Jeans6,Jeans,24,127.63,273659.1408
DE0120,Jeans5,Jeans,4,13.49,4820.7864
DE0121,Bottle5,Water bottles,26,75.18,174631.11120000004
DE0122,Phone1,Smart Phone,2,7.65,1366.902
DE0124,Bottle2,Water bottles,14,90.61,113331.3636
DE0126,Perfume6,Perfumes,4,22.66,8097.7776
DE0128,Perfume2,Perfumes,14,81.74,102237.1224
DE0129,Tshirt5,Tshirts,24,131.12,281142.25920000003
DE0134,Bottle1,Water bottles,36,133.34,428853.4416
DE0135,Tshirt4,Tshirts,34,108.98,331033.28880000004
DE0137,Bottle6,Water bottles,22,75.45,148295.46600000001
DE0138,Shoes2,Shoes,8,41.33,29539.3776
DE0139,Jeans4,Jeans,16,88.04,125847.89760000001
DE0143,Shoes2,Shoes,4,17.64,6303.8304000000007
DE0145,Shoes2,Shoes,20,129.22,230890.29600000003
DE0146,Perfume2,Perfumes,38,125.2,425043.98400000005
DE0147,Phone5,Smart Phone,32,198.14,566458.4832
DE0148,Phone4,Smart Phone,18,94.61,152144.23320000002
DE0150,Jeans5,Jeans,10,51.94,46403.195999999996
DE0151,Tshirt1,Tshirts,32,167.66,479319.8208
DE0152,Perfume4,Perfumes,32,172.68,493671.39840000006
DE0153,Phone2,Smart Phone,6,30.8,16510.032000000003
DE0155,Tshirt4,Tshirts,20,108.71,194243.028
DE0156,Perfume6,Perfumes,38,205.48,697588.1616
DE0157,Phone2,Smart Phone,26,128.06,297462.89040000003
DE0158,Bottle4,Water bottles,2,10.02,1790.3736
DE0159,Bottle3,Water bottles,34,152.99,464716.3044
DE0160,Phone3,Smart Phone,40,130.45,466176.12
DE0162,Phone3,Smart Phone,30,146.92,393774.98399999994
DE0163,Shoes2,Shoes,36,216.65,696798.39600000007
DE0165,Tshirt6,Tshirts,32,130.9,374227.39200000005
DE0169,Shoes6,Shoes,6,32.55,17448.102
DE0170,Tshirt1,Tshirts,26,115.82,269031.32879999996
DE0172,Phone2,Smart Phone,14,62.76,78497.6976
DE0173,Phone6,Smart Phone,36,198.7,639066.888
DE0174,Shoes4,Shoes,30,134.15,359548.83
DE0175,Jeans1,Jeans,2,11.57,2067.3276
DE0178,Perfume2,Perfumes,20,85.85,153396.78
DE0180,Shoes3,Shoes,30,190.46,510470.89200000005
DE0182,Bottle6,Water bottles,10,41.63,37192.242000000006
DE0183,Tshirt1,Tshirts,22,117.24,230432.87519999998
DE0184,Shoes3,Shoes,12,72.29,77500.66320000001
DE0189,Phone3,Smart Phone,38,229.54,779269.9368
DE0190,Bottle4,Water bottles,22,122.04,239867.1792
DE0191,Tshirt2,Tshirts,36,164.41,528782.01840000006
DE0192,Tshirt4,Tshirts,40,214.28,765751.00800000015
